year,month,day,team,defensive_sack_percentage
2021,2,14,Pittsburgh,0.00%
2021,2,14,LA Rams,0.00%
2021,2,14,Philadelphia,8.57%
2021,2,14,Washington,6.98%
2021,2,14,Arizona,5.00%
2021,2,14,Green Bay,2.70%
2021,2,14,New Orleans,2.94%
2021,2,14,Miami,2.56%
2021,2,14,Denver,7.32%
2021,2,14,Tampa Bay,5.77%
2021,2,14,Indianapolis,5.41%
2021,2,14,Seattle,10.71%
2021,2,14,NY Giants,11.32%
2021,2,14,Baltimore,5.13%
2021,2,14,Houston,6.90%
2021,2,14,Buffalo,2.56%
2021,2,14,Chicago,2.50%
2021,2,14,Dallas,7.41%
2021,2,14,Kansas City,3.33%
2021,2,14,Cleveland,2.56%
2021,2,14,San Francisco,5.26%
2021,2,14,NY Jets,8.82%
2021,2,14,LA Chargers,3.03%
2021,2,14,Carolina,5.88%
2021,2,14,New England,8.11%
2021,2,14,Atlanta,2.38%
2021,2,14,Detroit,6.98%
2021,2,14,Minnesota,3.13%
2021,2,14,Tennessee,17.24%
2021,2,14,Las Vegas,4.65%
2021,2,14,Jacksonville,0.00%
2021,2,14,Cincinnati,0.00%
2021,2,7,Pittsburgh,0.00%
2021,2,7,LA Rams,0.00%
2021,2,7,Philadelphia,8.57%
2021,2,7,Washington,6.98%
2021,2,7,Arizona,5.00%
2021,2,7,Green Bay,2.70%
2021,2,7,New Orleans,2.94%
2021,2,7,Miami,2.56%
2021,2,7,Denver,7.32%
2021,2,7,Tampa Bay,9.43%
2021,2,7,Indianapolis,5.41%
2021,2,7,Seattle,10.71%
2021,2,7,NY Giants,11.32%
2021,2,7,Baltimore,5.13%
2021,2,7,Houston,6.90%
2021,2,7,Buffalo,2.56%
2021,2,7,Chicago,2.50%
2021,2,7,Dallas,7.41%
2021,2,7,Kansas City,7.69%
2021,2,7,Cleveland,2.56%
2021,2,7,San Francisco,5.26%
2021,2,7,NY Jets,8.82%
2021,2,7,LA Chargers,3.03%
2021,2,7,Carolina,5.88%
2021,2,7,New England,8.11%
2021,2,7,Atlanta,2.38%
