Date,team,opponent,opponent_rank
2019-11-10,Kansas City,Tennessee,18
2019-11-10,Arizona,Tampa Bay,19
2019-11-10,NY Giants,NY Jets,31
2019-11-10,Indianapolis,Miami,32
2019-11-10,LA Rams,Pittsburgh,16
2019-11-10,Carolina,Green Bay,9
2019-11-10,Dallas,Minnesota,5
2019-11-17,San Francisco,Seattle,11
2019-11-17,Pittsburgh,Cleveland,18
2019-11-17,Tampa Bay,New Orleans,10
2019-11-17,Detroit,Dallas,9
2019-11-17,Washington,NY Jets,29
2019-11-17,Carolina,Atlanta,26
2019-11-17,Miami,Buffalo,24
2019-11-17,Denver,Minnesota,5
2019-11-17,Houston,Baltimore,3
2019-11-17,Jacksonville,Indianapolis,19
2019-11-17,Arizona,San Francisco,2
2019-11-17,Philadelphia,New England,1
2019-11-17,Cincinnati,Las Vegas,25
2019-11-17,Chicago,LA Rams,6
2019-11-24,LA Chargers,Kansas City,4
2019-11-24,Indianapolis,Houston,11
2019-11-24,Atlanta,Tampa Bay,25
2019-11-24,Denver,Buffalo,20
2019-11-24,Carolina,New Orleans,9
2019-11-24,Detroit,Washington,31
2019-11-24,Cincinnati,Pittsburgh,15
2019-11-24,Las Vegas,NY Jets,28
2019-11-24,Philadelphia,Seattle,10
2019-11-24,NY Giants,Chicago,14
2019-11-24,Miami,Cleveland,18
2019-11-24,Jacksonville,Tennessee,16
2019-11-24,Dallas,New England,1
2019-11-24,Green Bay,San Francisco,3
2019-12-01,LA Rams,Baltimore,2
2019-12-01,Detroit,Chicago,19
2019-12-01,Dallas,Buffalo,15
2019-12-01,Atlanta,New Orleans,7
2019-12-01,NY Giants,Green Bay,10
2019-12-01,Jacksonville,Tampa Bay,21
2019-12-01,Cleveland,Pittsburgh,16
2019-12-01,Carolina,Washington,31
2019-12-01,San Francisco,Baltimore,2
2019-12-01,NY Jets,Cincinnati,30
2019-12-01,Philadelphia,Miami,32
2019-12-01,Indianapolis,Tennessee,12
2019-12-01,Arizona,LA Rams,9
2019-12-01,LA Chargers,Denver,23
2019-12-01,Las Vegas,Kansas City,4
2019-12-01,New England,Houston,11
2019-12-08,Minnesota,Seattle,7
2019-12-08,Dallas,Chicago,16
2019-12-08,Carolina,Atlanta,22
2019-12-08,Buffalo,Baltimore,1
2019-12-08,Cincinnati,Cleveland,17
2019-12-08,Miami,NY Jets,28
2019-12-08,Indianapolis,Tampa Bay,19
2019-12-08,New Orleans,San Francisco,3
2019-12-08,Houston,Denver,23
2019-12-08,Detroit,Minnesota,5
2019-12-08,Washington,Green Bay,10
2019-12-08,Jacksonville,LA Chargers,13
2019-12-08,Arizona,Pittsburgh,14
2019-12-08,Las Vegas,Tennessee,12
2019-12-08,New England,Kansas City,4
2019-12-08,Seattle,LA Rams,6
2019-12-15,NY Giants,Philadelphia,18
2019-12-15,NY Jets,Baltimore,1
2019-12-15,Denver,Kansas City,4
2019-12-15,Washington,Philadelphia,18
2019-12-15,Carolina,Seattle,8
2019-12-15,Detroit,Tampa Bay,19
2019-12-15,Chicago,Green Bay,12
2019-12-15,Tennessee,Houston,13
2019-12-15,Cincinnati,New England,2
2019-12-15,Miami,NY Giants,30
2019-12-15,LA Chargers,Minnesota,5
2019-12-15,Las Vegas,Jacksonville,25
2019-12-15,Cleveland,Arizona,27
2019-12-15,LA Rams,Dallas,9
2019-12-15,San Francisco,Atlanta,22
2019-12-15,Pittsburgh,Buffalo,15
2019-12-22,Indianapolis,New Orleans,6
2019-12-22,Tampa Bay,Houston,12
2019-12-22,Buffalo,New England,2
2019-12-22,LA Rams,San Francisco,3
2019-12-22,Tennessee,New Orleans,6
2019-12-22,Jacksonville,Atlanta,19
2019-12-22,Cincinnati,Miami,32
2019-12-22,Cleveland,Baltimore,1
2019-12-22,Washington,NY Giants,29
2019-12-22,Pittsburgh,NY Jets,28
2019-12-22,Carolina,Indianapolis,22
2019-12-22,Detroit,Denver,21
2019-12-22,LA Chargers,Las Vegas,27
2019-12-22,Seattle,Arizona,26
2019-12-22,Dallas,Philadelphia,17
2019-12-22,Chicago,Kansas City,4
2019-12-29,Minnesota,Green Bay,9
2019-12-29,Carolina,New Orleans,6
2019-12-29,Minnesota,Chicago,20
2019-12-29,LA Chargers,Kansas City,3
2019-12-29,New England,Miami,32
2019-12-29,Tampa Bay,Atlanta,17
2019-12-29,Buffalo,NY Jets,28
2019-12-29,Detroit,Green Bay,9
2019-12-29,Cleveland,Cincinnati,30
2019-12-29,Indianapolis,Jacksonville,26
2019-12-29,Arizona,LA Rams,8
2019-12-29,NY Giants,Philadelphia,14
2019-12-29,Washington,Dallas,7
2019-12-29,Las Vegas,Denver,22
2019-12-29,Pittsburgh,Baltimore,1
2019-12-29,Houston,Tennessee,10
2019-12-29,Seattle,San Francisco,4
2020-01-05,Buffalo,Houston,13
2020-01-05,New England,Tennessee,8
2020-01-05,New Orleans,Minnesota,6
2020-01-05,Philadelphia,Seattle,11
2020-01-12,Minnesota,San Francisco,3
2020-01-12,Baltimore,Tennessee,7
2020-01-12,Houston,Kansas City,2
2020-01-12,Seattle,Green Bay,10
2020-01-19,Tennessee,Kansas City,2
2020-01-19,Green Bay,San Francisco,3
2020-02-02,San Francisco,Kansas City,2
2018-09-09,Atlanta,Philadelphia,6
2018-09-09,New Orleans,Tampa Bay,28
2018-09-09,Buffalo,Baltimore,13
2018-09-09,Indianapolis,Cincinnati,18
2018-09-09,Cleveland,Pittsburgh,2
2018-09-09,Tennessee,Miami,30
2018-09-09,Houston,New England,1
2018-09-09,NY Giants,Jacksonville,10
2018-09-09,San Francisco,Minnesota,4
2018-09-09,LA Chargers,Kansas City,16
2018-09-09,Arizona,Washington,15
2018-09-09,Dallas,Carolina,11
2018-09-09,Seattle,Denver,19
2018-09-09,Chicago,Green Bay,8
2018-09-16,Detroit,NY Jets,24
2018-09-16,Las Vegas,LA Rams,1
2018-09-16,Baltimore,Cincinnati,13
2018-09-16,Philadelphia,Tampa Bay,21
2018-09-16,Green Bay,Minnesota,3
2018-09-16,Houston,Tennessee,23
2018-09-16,Pittsburgh,Kansas City,14
2018-09-16,Washington,Indianapolis,30
2018-09-16,Carolina,Atlanta,6
2018-09-16,Buffalo,LA Chargers,15
2018-09-16,Cleveland,New Orleans,7
2018-09-16,NY Jets,Miami,28
2018-09-16,Arizona,LA Rams,1
2018-09-16,Detroit,San Francisco,20
2018-09-16,Las Vegas,Denver,19
2018-09-16,New England,Jacksonville,10
2018-09-16,NY Giants,Dallas,17
2018-09-23,Seattle,Chicago,20
2018-09-23,NY Jets,Cleveland,25
2018-09-23,Atlanta,New Orleans,7
2018-09-23,Minnesota,Buffalo,32
2018-09-23,Las Vegas,Miami,24
2018-09-23,Denver,Baltimore,9
2018-09-23,Cincinnati,Carolina,12
2018-09-23,Green Bay,Washington,17
2018-09-23,Houston,NY Giants,27
2018-09-23,Jacksonville,Tennessee,22
2018-09-23,San Francisco,Kansas City,11
2018-09-23,Indianapolis,Philadelphia,4
2018-09-23,LA Chargers,LA Rams,1
2018-09-23,Arizona,Chicago,20
2018-09-23,Dallas,Seattle,19
2018-09-23,New England,Detroit,30
2018-09-30,Tampa Bay,Pittsburgh,2
2018-09-30,Minnesota,LA Rams,1
2018-09-30,Detroit,Dallas,18
2018-09-30,Philadelphia,Tennessee,19
2018-09-30,NY Jets,Jacksonville,9
2018-09-30,Indianapolis,Houston,20
2018-09-30,Atlanta,Cincinnati,13
2018-09-30,Buffalo,Green Bay,15
2018-09-30,Tampa Bay,Chicago,21
2018-09-30,Miami,New England,5
2018-09-30,Arizona,Seattle,17
2018-09-30,Cleveland,Las Vegas,28
2018-09-30,NY Giants,New Orleans,4
2018-09-30,San Francisco,LA Chargers,12
2018-09-30,Pittsburgh,Baltimore,6
2018-10-07,Denver,Kansas City,5
2018-10-07,Indianapolis,New England,2
2018-10-07,NY Giants,Carolina,10
2018-10-07,Atlanta,Pittsburgh,7
2018-10-07,Tennessee,Buffalo,32
2018-10-07,Miami,Cincinnati,13
2018-10-07,Baltimore,Cleveland,22
2018-10-07,Denver,NY Jets,29
2018-10-07,Green Bay,Detroit,24
2018-10-07,Jacksonville,Kansas City,5
2018-10-07,Las Vegas,LA Chargers,16
2018-10-07,Seattle,LA Rams,1
2018-10-07,Philadelphia,Minnesota,11
2018-10-07,San Francisco,Arizona,31
2018-10-07,Dallas,Houston,18
2018-10-14,Washington,New Orleans,2
2018-10-14,NY Giants,Philadelphia,7
2018-10-14,Chicago,Miami,27
2018-10-14,Carolina,Washington,17
2018-10-14,Arizona,Minnesota,8
2018-10-14,Indianapolis,NY Jets,23
2018-10-14,Tampa Bay,Atlanta,14
2018-10-14,Buffalo,Houston,18
2018-10-14,Las Vegas,Seattle,16
2018-10-14,Cincinnati,Pittsburgh,5
2018-10-14,Cleveland,LA Chargers,13
2018-10-14,Denver,LA Rams,1
2018-10-14,Jacksonville,Dallas,19
2018-10-14,Tennessee,Baltimore,6
2018-10-14,Kansas City,New England,3
2018-10-21,San Francisco,Green Bay,16
2018-10-21,Arizona,Denver,18
2018-10-21,Tennessee,LA Chargers,8
2018-10-21,Philadelphia,Carolina,12
2018-10-21,Miami,Detroit,21
2018-10-21,Chicago,New England,4
2018-10-21,NY Jets,Minnesota,9
2018-10-21,Buffalo,Indianapolis,27
2018-10-21,Jacksonville,Houston,20
2018-10-21,Cleveland,Tampa Bay,24
2018-10-21,Baltimore,New Orleans,2
2018-10-21,Dallas,Washington,19
2018-10-21,San Francisco,LA Rams,1
2018-10-21,Cincinnati,Kansas City,5
2018-10-28,NY Giants,Atlanta,14
2018-10-28,Miami,Houston,13
2018-10-28,Jacksonville,Philadelphia,8
2018-10-28,NY Jets,Chicago,15
2018-10-28,Baltimore,Carolina,11
2018-10-28,Detroit,Seattle,10
2018-10-28,NY Giants,Washington,17
2018-10-28,Denver,Kansas City,2
2018-10-28,Tampa Bay,Cincinnati,19
2018-10-28,Cleveland,Pittsburgh,6
2018-10-28,Las Vegas,Indianapolis,22
2018-10-28,Green Bay,LA Rams,1
2018-10-28,San Francisco,Arizona,31
2018-10-28,Minnesota,New Orleans,4
2018-11-04,Buffalo,New England,4
2018-11-04,Las Vegas,San Francisco,28
2018-11-04,Tampa Bay,Carolina,8
2018-11-04,Baltimore,Pittsburgh,5
2018-11-04,Detroit,Minnesota,9
2018-11-04,Washington,Atlanta,16
2018-11-04,Buffalo,Chicago,13
2018-11-04,Cleveland,Kansas City,2
2018-11-04,NY Jets,Miami,29
2018-11-04,Seattle,LA Chargers,11
2018-11-04,Denver,Houston,14
2018-11-04,LA Rams,New Orleans,3
2018-11-04,Green Bay,New England,4
2018-11-11,Dallas,Tennessee,20
2018-11-11,Carolina,Pittsburgh,3
2018-11-11,Atlanta,Cleveland,27
2018-11-11,Tampa Bay,Washington,22
2018-11-11,Cincinnati,New Orleans,4
2018-11-11,Jacksonville,Indianapolis,21
2018-11-11,Arizona,Kansas City,2
2018-11-11,Detroit,Chicago,10
2018-11-11,New England,Tennessee,20
2018-11-11,NY Jets,Buffalo,32
2018-11-11,Las Vegas,LA Chargers,8
2018-11-11,Miami,Green Bay,15
2018-11-11,Seattle,LA Rams,1
2018-11-11,Philadelphia,Dallas,16
2018-11-18,San Francisco,NY Giants,26
2018-11-18,Green Bay,Seattle,11
2018-11-18,Carolina,Detroit,23
2018-11-18,Washington,Houston,14
2018-11-18,Atlanta,Dallas,16
2018-11-18,Tampa Bay,NY Giants,26
2018-11-18,Cincinnati,Baltimore,6
2018-11-18,Jacksonville,Pittsburgh,4
2018-11-18,Tennessee,Indianapolis,21
2018-11-18,Arizona,Las Vegas,31
2018-11-18,LA Chargers,Denver,19
2018-11-18,Philadelphia,New Orleans,1
2018-11-18,Minnesota,Chicago,9
2018-11-25,Kansas City,LA Rams,2
2018-11-25,Detroit,Chicago,8
2018-11-25,Washington,Dallas,12
2018-11-25,Atlanta,New Orleans,1
2018-11-25,NY Giants,Philadelphia,16
2018-11-25,Jacksonville,Buffalo,32
2018-11-25,Las Vegas,Baltimore,6
2018-11-25,Cincinnati,Cleveland,24
2018-11-25,NY Jets,New England,5
2018-11-25,Carolina,Seattle,10
2018-11-25,San Francisco,Tampa Bay,25
2018-11-25,Arizona,LA Chargers,7
2018-11-25,Pittsburgh,Denver,18
2018-11-25,Miami,Indianapolis,17
2018-11-25,Green Bay,Minnesota,9
2018-12-02,Tennessee,Houston,11
2018-12-02,New Orleans,Dallas,12
2018-12-02,Green Bay,Arizona,32
2018-12-02,Carolina,Tampa Bay,23
2018-12-02,Chicago,NY Giants,26
2018-12-02,Atlanta,Baltimore,7
2018-12-02,Buffalo,Miami,27
2018-12-02,Detroit,LA Rams,2
2018-12-02,Cincinnati,Denver,17
2018-12-02,Cleveland,Houston,11
2018-12-02,Indianapolis,Jacksonville,21
2018-12-02,Las Vegas,Kansas City,3
2018-12-02,NY Jets,Tennessee,20
2018-12-02,Minnesota,New England,5
2018-12-02,San Francisco,Seattle,10
2018-12-02,Pittsburgh,LA Chargers,6
2018-12-09,Washington,Philadelphia,14
2018-12-09,Jacksonville,Tennessee,19
2018-12-09,Tampa Bay,New Orleans,1
2018-12-09,Atlanta,Green Bay,17
2018-12-09,Buffalo,NY Jets,28
2018-12-09,Houston,Indianapolis,18
2018-12-09,Washington,NY Giants,24
2018-12-09,Carolina,Cleveland,23
2018-12-09,Baltimore,Kansas City,3
2018-12-09,New England,Miami,27
2018-12-09,Cincinnati,LA Chargers,6
2018-12-09,Denver,San Francisco,29
2018-12-09,Philadelphia,Dallas,12
2018-12-09,Pittsburgh,Las Vegas,30
2018-12-09,Arizona,Detroit,25
2018-12-09,LA Rams,Chicago,9
2018-12-16,Minnesota,Seattle,8
2018-12-16,Kansas City,LA Chargers,6
2018-12-16,NY Jets,Houston,10
2018-12-16,Denver,Cleveland,22
2018-12-16,NY Giants,Tennessee,19
2018-12-16,Tampa Bay,Baltimore,7
2018-12-16,Green Bay,Chicago,9
2018-12-16,Miami,Minnesota,11
2018-12-16,Arizona,Atlanta,17
2018-12-16,Detroit,Buffalo,31
2018-12-16,Las Vegas,Cincinnati,26
2018-12-16,Jacksonville,Washington,23
2018-12-16,Dallas,Indianapolis,18
2018-12-16,Seattle,San Francisco,29
2018-12-16,New England,Pittsburgh,5
2018-12-16,LA Rams,Philadelphia,13
2018-12-23,Carolina,New Orleans,1
2018-12-23,Washington,Tennessee,18
2018-12-23,LA Chargers,Baltimore,6
2018-12-23,Carolina,Atlanta,15
2018-12-23,Buffalo,New England,4
2018-12-23,Detroit,Minnesota,10
2018-12-23,NY Jets,Green Bay,16
2018-12-23,Cincinnati,Cleveland,20
2018-12-23,Miami,Jacksonville,21
2018-12-23,NY Giants,Indianapolis,14
2018-12-23,Tampa Bay,Dallas,13
2018-12-23,Houston,Philadelphia,12
2018-12-23,Arizona,LA Rams,2
2018-12-23,San Francisco,Chicago,8
2018-12-23,Pittsburgh,New Orleans,1
2018-12-23,Kansas City,Seattle,9
2018-12-30,Denver,Las Vegas,30
2018-12-30,NY Giants,Dallas,14
2018-12-30,Jacksonville,Houston,11
2018-12-30,Tampa Bay,Atlanta,13
2018-12-30,NY Jets,New England,5
2018-12-30,Miami,Buffalo,31
2018-12-30,New Orleans,Carolina,18
2018-12-30,Green Bay,Detroit,26
2018-12-30,Minnesota,Chicago,9
2018-12-30,Las Vegas,Kansas City,3
2018-12-30,Arizona,Seattle,8
2018-12-30,Washington,Philadelphia,12
2018-12-30,Denver,LA Chargers,7
2018-12-30,San Francisco,LA Rams,2
2018-12-30,Cincinnati,Pittsburgh,4
2018-12-30,Cleveland,Baltimore,6
2018-12-30,Tennessee,Indianapolis,16
2019-01-06,Houston,Indianapolis,13
2019-01-06,Seattle,Dallas,16
2019-01-06,Baltimore,LA Chargers,6
2019-01-06,Chicago,Philadelphia,10
2019-01-13,Indianapolis,Kansas City,3
2019-01-13,Dallas,LA Rams,2
2019-01-13,LA Chargers,New England,4
2019-01-13,Philadelphia,New Orleans,1
2019-01-20,New Orleans,LA Rams,2
2019-01-20,Kansas City,New England,4
2019-02-03,LA Rams,New England,3
2017-09-10,New England,Kansas City,4
2017-09-10,Chicago,Atlanta,8
2017-09-10,NY Jets,Buffalo,27
2017-09-10,Tennessee,Las Vegas,7
2017-09-10,Washington,Philadelphia,19
2017-09-10,Cincinnati,Baltimore,15
2017-09-10,Cleveland,Pittsburgh,2
2017-09-10,Arizona,Detroit,20
2017-09-10,Houston,Jacksonville,25
2017-09-10,Indianapolis,LA Rams,28
2017-09-10,San Francisco,Carolina,13
2017-09-10,Seattle,Green Bay,5
2017-09-10,NY Giants,Dallas,6
2017-09-17,New Orleans,Minnesota,11
2017-09-17,LA Chargers,Denver,13
2017-09-17,Cincinnati,Houston,21
2017-09-17,Chicago,Tampa Bay,19
2017-09-17,Jacksonville,Tennessee,18
2017-09-17,Philadelphia,Kansas City,4
2017-09-17,Indianapolis,Arizona,14
2017-09-17,Minnesota,Pittsburgh,2
2017-09-17,New Orleans,New England,1
2017-09-17,Buffalo,Carolina,9
2017-09-17,Cleveland,Baltimore,8
2017-09-17,LA Chargers,Miami,25
2017-09-17,NY Jets,Las Vegas,7
2017-09-17,Dallas,Denver,13
2017-09-17,LA Rams,Washington,26
2017-09-17,San Francisco,Seattle,5
2017-09-17,Green Bay,Atlanta,10
2017-09-24,NY Giants,Detroit,13
2017-09-24,San Francisco,LA Rams,24
2017-09-24,Baltimore,Jacksonville,22
2017-09-24,Miami,NY Jets,32
2017-09-24,Detroit,Atlanta,8
2017-09-24,Denver,Buffalo,27
2017-09-24,Houston,New England,1
2017-09-24,Cleveland,Indianapolis,28
2017-09-24,Tampa Bay,Minnesota,17
2017-09-24,NY Giants,Philadelphia,14
2017-09-24,Carolina,New Orleans,26
2017-09-24,Pittsburgh,Chicago,30
2017-09-24,Seattle,Tennessee,11
2017-09-24,Cincinnati,Green Bay,5
2017-09-24,LA Chargers,Kansas City,3
2017-09-24,Las Vegas,Washington,25
2017-10-01,Arizona,Dallas,8
2017-10-01,Chicago,Green Bay,4
2017-10-01,Miami,New Orleans,20
2017-10-01,New England,Carolina,15
2017-10-01,Minnesota,Detroit,13
2017-10-01,Jacksonville,NY Jets,32
2017-10-01,Atlanta,Buffalo,25
2017-10-01,Dallas,LA Rams,24
2017-10-01,Baltimore,Pittsburgh,3
2017-10-01,Tennessee,Houston,19
2017-10-01,Cleveland,Cincinnati,22
2017-10-01,San Francisco,Arizona,18
2017-10-01,NY Giants,Tampa Bay,17
2017-10-01,LA Chargers,Philadelphia,14
2017-10-01,Las Vegas,Denver,10
2017-10-01,Indianapolis,Seattle,6
2017-10-08,Washington,Kansas City,3
2017-10-08,Tampa Bay,New England,1
2017-10-08,Tennessee,Miami,27
2017-10-08,San Francisco,Indianapolis,29
2017-10-08,Arizona,Philadelphia,14
2017-10-08,Buffalo,Cincinnati,15
2017-10-08,NY Giants,LA Chargers,26
2017-10-08,Detroit,Carolina,12
2017-10-08,Pittsburgh,Jacksonville,17
2017-10-08,Cleveland,NY Jets,31
2017-10-08,Las Vegas,Baltimore,22
2017-10-08,LA Rams,Seattle,5
2017-10-08,Dallas,Green Bay,4
2017-10-08,Houston,Kansas City,3
2017-10-15,Chicago,Minnesota,15
2017-10-15,Carolina,Philadelphia,6
2017-10-15,Atlanta,Miami,27
2017-10-15,NY Jets,New England,1
2017-10-15,Baltimore,Chicago,28
2017-10-15,San Francisco,Washington,20
2017-10-15,Cleveland,Houston,10
2017-10-15,Detroit,New Orleans,16
2017-10-15,Green Bay,Minnesota,15
2017-10-15,Tampa Bay,Arizona,26
2017-10-15,Jacksonville,LA Rams,23
2017-10-15,Las Vegas,LA Chargers,25
2017-10-15,Kansas City,Pittsburgh,5
2017-10-15,Denver,NY Giants,24
2017-10-22,Indianapolis,Tennessee,22
2017-10-22,Kansas City,Las Vegas,14
2017-10-22,Tampa Bay,Buffalo,24
2017-10-22,NY Jets,Miami,27
2017-10-22,Baltimore,Minnesota,8
2017-10-22,Green Bay,New Orleans,10
2017-10-22,Indianapolis,Jacksonville,11
2017-10-22,Arizona,LA Rams,18
2017-10-22,Carolina,Chicago,28
2017-10-22,Cleveland,Tennessee,22
2017-10-22,San Francisco,Dallas,13
2017-10-22,Denver,LA Chargers,25
2017-10-22,Cincinnati,Pittsburgh,3
2017-10-22,NY Giants,Seattle,4
2017-10-22,Atlanta,New England,1
2017-10-29,Washington,Philadelphia,6
2017-10-29,Miami,Baltimore,13
2017-10-29,Cleveland,Minnesota,9
2017-10-29,NY Jets,Atlanta,14
2017-10-29,Las Vegas,Buffalo,25
2017-10-29,Indianapolis,Cincinnati,18
2017-10-29,Tampa Bay,Carolina,17
2017-10-29,LA Chargers,New England,1
2017-10-29,San Francisco,Philadelphia,6
2017-10-29,Chicago,New Orleans,10
2017-10-29,Houston,Seattle,4
2017-10-29,Washington,Dallas,8
2017-10-29,Detroit,Pittsburgh,3
2017-11-05,Denver,Kansas City,2
2017-11-05,Buffalo,NY Jets,29
2017-11-05,Tampa Bay,New Orleans,11
2017-11-05,Denver,Philadelphia,5
2017-11-05,Baltimore,Tennessee,21
2017-11-05,Cincinnati,Jacksonville,8
2017-11-05,Atlanta,Carolina,13
2017-11-05,NY Giants,LA Rams,12
2017-11-05,Houston,Indianapolis,30
2017-11-05,San Francisco,Arizona,26
2017-11-05,Seattle,Washington,25
2017-11-05,Kansas City,Dallas,6
2017-11-05,Miami,Las Vegas,17
2017-11-12,Green Bay,Detroit,13
2017-11-12,Arizona,Seattle,5
2017-11-12,Chicago,Green Bay,11
2017-11-12,Washington,Minnesota,10
2017-11-12,Buffalo,New Orleans,9
2017-11-12,Cincinnati,Tennessee,18
2017-11-12,LA Chargers,Jacksonville,7
2017-11-12,Cleveland,Detroit,13
2017-11-12,NY Jets,Tampa Bay,24
2017-11-12,Indianapolis,Pittsburgh,2
2017-11-12,Houston,LA Rams,8
2017-11-12,Dallas,Atlanta,15
2017-11-12,NY Giants,San Francisco,31
2017-11-12,Denver,New England,1
2017-11-19,Miami,Carolina,12
2017-11-19,Tennessee,Pittsburgh,2
2017-11-19,LA Rams,Minnesota,9
2017-11-19,Arizona,Houston,16
2017-11-19,Cleveland,Jacksonville,8
2017-11-19,Miami,Tampa Bay,22
2017-11-19,Washington,New Orleans,3
2017-11-19,Green Bay,Baltimore,15
2017-11-19,Chicago,Detroit,14
2017-11-19,Kansas City,NY Giants,26
2017-11-19,Buffalo,LA Chargers,18
2017-11-19,Las Vegas,New England,1
2017-11-19,Denver,Cincinnati,19
2017-11-19,Dallas,Philadelphia,5
2017-11-26,Seattle,Atlanta,11
2017-11-26,Detroit,Minnesota,6
2017-11-26,Dallas,LA Chargers,13
2017-11-26,NY Giants,Washington,18
2017-11-26,Tampa Bay,Atlanta,11
2017-11-26,NY Jets,Carolina,12
2017-11-26,Chicago,Philadelphia,2
2017-11-26,Kansas City,Buffalo,27
2017-11-26,Cleveland,Cincinnati,20
2017-11-26,Indianapolis,Tennessee,21
2017-11-26,Miami,New England,1
2017-11-26,San Francisco,Seattle,7
2017-11-26,New Orleans,LA Rams,9
2017-11-26,Denver,Las Vegas,19
2017-11-26,Jacksonville,Arizona,24
2017-11-26,Green Bay,Pittsburgh,3
2017-12-03,Houston,Baltimore,11
2017-12-03,Washington,Dallas,16
2017-12-03,Buffalo,New England,1
2017-12-03,Houston,Tennessee,20
2017-12-03,Kansas City,NY Jets,29
2017-12-03,Indianapolis,Jacksonville,9
2017-12-03,Atlanta,Minnesota,5
2017-12-03,Denver,Miami,28
2017-12-03,Detroit,Baltimore,11
2017-12-03,Tampa Bay,Green Bay,14
2017-12-03,Chicago,San Francisco,31
2017-12-03,Cleveland,LA Chargers,13
2017-12-03,Arizona,LA Rams,7
2017-12-03,NY Giants,Las Vegas,19
2017-12-03,Carolina,New Orleans,4
2017-12-03,Philadelphia,Seattle,6
2017-12-10,Cincinnati,Pittsburgh,3
2017-12-10,New Orleans,Atlanta,11
2017-12-10,Minnesota,Carolina,12
2017-12-10,Tampa Bay,Detroit,16
2017-12-10,Cincinnati,Chicago,28
2017-12-10,Cleveland,Green Bay,14
2017-12-10,NY Giants,Dallas,15
2017-12-10,Indianapolis,Buffalo,25
2017-12-10,Houston,San Francisco,31
2017-12-10,Las Vegas,Kansas City,10
2017-12-10,NY Jets,Denver,26
2017-12-10,Washington,LA Chargers,13
2017-12-10,Tennessee,Arizona,23
2017-12-10,Seattle,Jacksonville,8
2017-12-10,LA Rams,Philadelphia,2
2017-12-10,Baltimore,Pittsburgh,3
2017-12-17,New England,Miami,27
2017-12-17,Indianapolis,Denver,23
2017-12-17,Chicago,Detroit,16
2017-12-17,LA Chargers,Kansas City,9
2017-12-17,Arizona,Washington,20
2017-12-17,Miami,Buffalo,26
2017-12-17,Houston,Jacksonville,8
2017-12-17,NY Jets,New Orleans,4
2017-12-17,NY Giants,Philadelphia,2
2017-12-17,Green Bay,Carolina,12
2017-12-17,Cincinnati,Minnesota,6
2017-12-17,Cleveland,Baltimore,10
2017-12-17,Seattle,LA Rams,7
2017-12-17,Tennessee,San Francisco,30
2017-12-17,Pittsburgh,New England,1
2017-12-17,Las Vegas,Dallas,13
2017-12-24,Tampa Bay,Atlanta,12
2017-12-24,Indianapolis,Baltimore,9
2017-12-24,Green Bay,Minnesota,3
2017-12-24,Atlanta,New Orleans,7
2017-12-24,Tampa Bay,Carolina,11
2017-12-24,Cleveland,Chicago,26
2017-12-24,Detroit,Cincinnati,23
2017-12-24,Buffalo,New England,1
2017-12-24,NY Jets,LA Chargers,14
2017-12-24,Tennessee,LA Rams,4
2017-12-24,Denver,Washington,19
2017-12-24,Miami,Kansas City,8
2017-12-24,Jacksonville,San Francisco,30
2017-12-24,NY Giants,Arizona,24
2017-12-24,Dallas,Seattle,10
2017-12-31,Houston,Pittsburgh,3
2017-12-31,Las Vegas,Philadelphia,2
2017-12-31,NY Jets,New England,1
2017-12-31,Philadelphia,Dallas,14
2017-12-31,Washington,NY Giants,28
2017-12-31,Cleveland,Pittsburgh,3
2017-12-31,Green Bay,Detroit,16
2017-12-31,Chicago,Minnesota,4
2017-12-31,Houston,Indianapolis,31
2017-12-31,New Orleans,Tampa Bay,20
2017-12-31,Seattle,Arizona,21
2017-12-31,Miami,Buffalo,26
2017-12-31,Denver,Kansas City,8
2017-12-31,Las Vegas,LA Chargers,13
2017-12-31,Jacksonville,Tennessee,19
2017-12-31,Carolina,Atlanta,12
2017-12-31,LA Rams,San Francisco,29
2017-12-31,Baltimore,Cincinnati,22
2018-01-07,Kansas City,Tennessee,17
2018-01-07,LA Rams,Atlanta,8
2018-01-07,Buffalo,Jacksonville,6
2018-01-07,Carolina,New Orleans,5
2018-01-14,Atlanta,Philadelphia,2
2018-01-14,Tennessee,New England,1
2018-01-14,Pittsburgh,Jacksonville,6
2018-01-14,New Orleans,Minnesota,4
2018-01-21,Jacksonville,New England,1
2018-01-21,Minnesota,Philadelphia,2
2018-02-04,New England,Philadelphia,2
2016-09-11,Carolina,Denver,9
2016-09-11,Jacksonville,Green Bay,4
2016-09-11,Buffalo,Baltimore,15
2016-09-11,Atlanta,Tampa Bay,27
2016-09-11,Tennessee,Minnesota,10
2016-09-11,New Orleans,Las Vegas,13
2016-09-11,Cleveland,Philadelphia,28
2016-09-11,LA Chargers,Kansas City,5
2016-09-11,Chicago,Houston,12
2016-09-11,NY Jets,Cincinnati,8
2016-09-11,Miami,Seattle,1
2016-09-11,Dallas,NY Giants,21
2016-09-11,Indianapolis,Detroit,20
2016-09-11,Arizona,New England,3
2016-09-18,Washington,Pittsburgh,4
2016-09-18,LA Rams,San Francisco,21
2016-09-18,Buffalo,NY Jets,13
2016-09-18,Cincinnati,Pittsburgh,4
2016-09-18,Kansas City,Houston,11
