Date,team,opponent,opponent_rank
2019-11-17,Minnesota,Denver,23
2019-11-17,Baltimore,Houston,8
2019-11-17,Indianapolis,Jacksonville,20
2019-11-17,San Francisco,Arizona,27
2019-11-17,New England,Philadelphia,13
2019-11-17,Las Vegas,Cincinnati,31
2019-11-17,LA Rams,Chicago,15
2019-11-24,Kansas City,LA Chargers,13
2019-11-24,Houston,Indianapolis,17
2019-11-24,Tampa Bay,Atlanta,19
2019-11-24,Buffalo,Denver,22
2019-11-24,New Orleans,Carolina,21
2019-11-24,Washington,Detroit,23
2019-11-24,Pittsburgh,Cincinnati,30
2019-11-24,NY Jets,Las Vegas,26
2019-11-24,Seattle,Philadelphia,12
2019-11-24,Chicago,NY Giants,29
2019-11-24,Cleveland,Miami,32
2019-11-24,Tennessee,Jacksonville,24
2019-11-24,New England,Dallas,8
2019-11-24,San Francisco,Green Bay,7
2019-12-01,Baltimore,LA Rams,9
2019-12-01,Chicago,Detroit,25
2019-12-01,Buffalo,Dallas,6
2019-12-01,New Orleans,Atlanta,22
2019-12-01,Green Bay,NY Giants,29
2019-12-01,Tampa Bay,Jacksonville,24
2019-12-01,Pittsburgh,Cleveland,17
2019-12-01,Washington,Carolina,20
2019-12-01,Baltimore,San Francisco,3
2019-12-01,Cincinnati,NY Jets,28
2019-12-01,Miami,Philadelphia,14
2019-12-01,Tennessee,Indianapolis,18
2019-12-01,LA Rams,Arizona,27
2019-12-01,Denver,LA Chargers,13
2019-12-01,Kansas City,Las Vegas,26
2019-12-01,Houston,New England,1
2019-12-08,Seattle,Minnesota,5
2019-12-08,Chicago,Dallas,9
2019-12-08,Atlanta,Carolina,21
2019-12-08,Baltimore,Buffalo,15
2019-12-08,Cleveland,Cincinnati,29
2019-12-08,NY Jets,Miami,32
2019-12-08,Tampa Bay,Indianapolis,20
2019-12-08,San Francisco,New Orleans,8
2019-12-08,Denver,Houston,11
2019-12-08,Minnesota,Detroit,24
2019-12-08,Green Bay,Washington,31
2019-12-08,LA Chargers,Jacksonville,25
2019-12-08,Pittsburgh,Arizona,27
2019-12-08,Tennessee,Las Vegas,26
2019-12-08,Kansas City,New England,2
2019-12-08,LA Rams,Seattle,7
2019-12-15,Philadelphia,NY Giants,30
2019-12-15,Baltimore,NY Jets,28
2019-12-15,Kansas City,Denver,21
2019-12-15,Philadelphia,Washington,31
2019-12-15,Seattle,Carolina,23
2019-12-15,Tampa Bay,Detroit,24
2019-12-15,Green Bay,Chicago,16
2019-12-15,Houston,Tennessee,11
2019-12-15,New England,Cincinnati,29
2019-12-15,NY Giants,Miami,32
2019-12-15,Minnesota,LA Chargers,10
2019-12-15,Jacksonville,Las Vegas,26
2019-12-15,Arizona,Cleveland,17
2019-12-15,Dallas,LA Rams,6
2019-12-15,Atlanta,San Francisco,3
2019-12-15,Buffalo,Pittsburgh,14
2019-12-22,New Orleans,Indianapolis,22
2019-12-22,Houston,Tampa Bay,15
2019-12-22,New England,Buffalo,13
2019-12-22,San Francisco,LA Rams,8
2019-12-22,New Orleans,Tennessee,11
2019-12-22,Atlanta,Jacksonville,25
2019-12-22,Miami,Cincinnati,30
2019-12-22,Baltimore,Cleveland,20
2019-12-22,NY Giants,Washington,31
2019-12-22,NY Jets,Pittsburgh,18
2019-12-22,Indianapolis,Carolina,23
2019-12-22,Denver,Detroit,24
2019-12-22,Las Vegas,LA Chargers,14
2019-12-22,Arizona,Seattle,9
2019-12-22,Philadelphia,Dallas,7
2019-12-22,Kansas City,Chicago,16
2019-12-29,Green Bay,Minnesota,5
2019-12-29,New Orleans,Carolina,23
2019-12-29,Chicago,Minnesota,5
2019-12-29,Kansas City,LA Chargers,15
2019-12-29,Miami,New England,2
2019-12-29,Atlanta,Tampa Bay,16
