year,month,day,team,total_points_per_game
2021,9,26,Tampa Bay,48.0
2021,9,26,Arizona,34.0
2021,9,26,Kansas City,35.0
2021,9,26,Baltimore,36.0
2021,9,26,LA Rams,27.0
2021,9,26,Cleveland,31.0
2021,9,26,Las Vegas,26.0
2021,9,26,San Francisco,17.0
2021,9,26,Seattle,30.0
2021,9,26,Minnesota,33.0
2021,9,26,Buffalo,35.0
2021,9,26,Detroit,17.0
2021,9,26,Denver,23.0
2021,9,26,Dallas,20.0
2021,9,26,Washington,30.0
2021,9,26,Tennessee,33.0
2021,9,26,Carolina,24.0
2021,9,26,New Orleans,7.0
2021,9,26,Houston,9.0
2021,9,26,Cincinnati,17.0
2021,9,26,Philadelphia,11.0
2021,9,26,NY Giants,29.0
2021,9,26,New England,25.0
2021,9,26,Pittsburgh,17.0
2021,9,26,Indianapolis,24.0
2021,9,26,Green Bay,35.0
2021,9,26,LA Chargers,17.0
2021,9,26,Jacksonville,13.0
2021,9,26,Chicago,20.0
2021,9,26,Atlanta,25.0
2021,9,26,NY Jets,6.0
2021,9,26,Miami,0.0
2021,9,19,San Francisco,41.0
2021,9,19,Arizona,38.0
2021,9,19,New Orleans,38.0
2021,9,19,Houston,37.0
2021,9,19,LA Rams,34.0
2021,9,19,Las Vegas,33.0
2021,9,19,Kansas City,33.0
2021,9,19,Detroit,33.0
2021,9,19,Philadelphia,32.0
2021,9,19,Tampa Bay,31.0
2021,9,19,Cleveland,29.0
2021,9,19,Dallas,29.0
2021,9,19,Seattle,28.0
2021,9,19,Denver,27.0
2021,9,19,Baltimore,27.0
2021,9,19,Cincinnati,27.0
2021,9,19,Minnesota,24.0
2021,9,19,Washington,30.0
2021,9,19,Pittsburgh,23.0
2021,9,19,NY Giants,29.0
2021,9,19,Jacksonville,21.0
2021,9,19,LA Chargers,20.0
2021,9,19,Carolina,19.0
2021,9,19,Miami,17.0
2021,9,19,New England,16.0
2021,9,19,Indianapolis,16.0
2021,9,19,Buffalo,16.0
2021,9,19,NY Jets,14.0
2021,9,19,Chicago,14.0
2021,9,19,Tennessee,13.0
2021,9,19,Atlanta,6.0
2021,9,19,Green Bay,3.0
2021,9,12,Tampa Bay,31.0
2021,9,12,Dallas,29.0
2021,9,5,Green Bay,26.0
2021,9,5,Tampa Bay,31.0
2021,9,5,Buffalo,24.0
2021,9,5,Tennessee,13.0
