year,month,day,team,red_zone_TD_percentage
2015,11,22,Kansas City,0.00%
2015,11,22,NY Giants,100.00%
2015,11,22,Denver,0.00%
2015,11,22,San Francisco,0.00%
2015,11,22,Cleveland,66.67%
2015,11,22,Seattle,33.33%
2015,11,15,Pittsburgh,100.00%
2015,11,15,Arizona,100.00%
2015,11,15,New England,66.67%
2015,11,15,Atlanta,50.00%
2015,11,15,Tennessee,50.00%
2015,11,15,NY Jets,75.00%
2015,11,15,Detroit,100.00%
2015,11,15,Cincinnati,75.00%
2015,11,15,Las Vegas,50.00%
2015,11,15,LA Chargers,100.00%
2015,11,15,Washington,66.67%
2015,11,15,Green Bay,0.00%
2015,11,15,Buffalo,100.00%
2015,11,15,Indianapolis,75.00%
2015,11,15,Baltimore,80.00%
2015,11,15,Houston,33.33%
2015,11,15,New Orleans,50.00%
2015,11,15,Philadelphia,42.86%
2015,11,15,Minnesota,50.00%
2015,11,15,Dallas,0.00%
2015,11,15,Tampa Bay,60.00%
2015,11,15,Jacksonville,80.00%
2015,11,15,Carolina,40.00%
2015,11,15,Chicago,50.00%
2015,11,15,Miami,66.67%
2015,11,15,Kansas City,33.33%
2015,11,15,Denver,0.00%
2015,11,15,San Francisco,75.00%
2015,11,15,LA Rams,25.00%
2015,11,15,NY Giants,50.00%
2015,11,15,Cleveland,40.00%
2015,11,15,Seattle,0.00%
2015,11,8,Atlanta,100.00%
2015,11,8,Pittsburgh,66.67%
2015,11,8,Tennessee,66.67%
2015,11,8,New England,75.00%
2015,11,8,NY Jets,75.00%
2015,11,8,Arizona,20.00%
2015,11,8,Las Vegas,50.00%
2015,11,8,Cincinnati,100.00%
2015,11,8,Green Bay,50.00%
2015,11,8,Detroit,0.00%
2015,11,8,Houston,75.00%
2015,11,8,Denver,33.33%
2015,11,8,Washington,50.00%
2015,11,8,Philadelphia,50.00%
2015,11,8,LA Chargers,66.67%
2015,11,8,New Orleans,50.00%
2015,11,8,Dallas,50.00%
2015,11,8,Buffalo,0.00%
2015,11,8,Indianapolis,25.00%
2015,11,8,Carolina,40.00%
2015,11,8,Chicago,66.67%
2015,11,8,Kansas City,0.00%
2015,11,8,LA Rams,60.00%
2015,11,8,Miami,66.67%
2015,11,8,Minnesota,50.00%
2015,11,8,Tampa Bay,60.00%
2015,11,8,Baltimore,100.00%
2015,11,8,Jacksonville,33.33%
2015,11,8,San Francisco,0.00%
2015,11,8,Seattle,0.00%
2015,11,8,NY Giants,50.00%
2015,11,8,Cleveland,25.00%
2015,11,1,Arizona,80.00%
2015,11,1,Buffalo,50.00%
2015,11,1,Pittsburgh,50.00%
2015,11,1,Tennessee,66.67%
2015,11,1,New England,75.00%
2015,11,1,NY Jets,100.00%
2015,11,1,Atlanta,80.00%
2015,11,1,Detroit,66.67%
2015,11,1,Denver,66.67%
2015,11,1,Indianapolis,100.00%
