year,month,day,team,offensive_interceptions
2015,11,8,Dallas,0.0
2015,11,8,New Orleans,0.0
2015,11,8,Arizona,1.0
2015,11,8,Jacksonville,0.0
2015,11,8,Las Vegas,1.0
2015,11,8,Kansas City,0.0
2015,11,8,Buffalo,1.0
2015,11,8,Chicago,1.0
2015,11,8,LA Chargers,0.0
2015,11,8,Washington,0.0
2015,11,8,Houston,1.0
2015,11,8,Philadelphia,0.0
2015,11,8,Baltimore,1.0
2015,11,8,Miami,2.0
2015,11,8,Detroit,0.0
2015,11,8,Denver,2.0
2015,11,8,San Francisco,1.0
2015,11,8,NY Jets,1.0
2015,11,8,Tampa Bay,4.0
2015,11,8,Indianapolis,0.0
2015,11,1,New England,0.0
2015,11,1,Green Bay,0.0
2015,11,1,NY Giants,0.0
2015,11,1,Cincinnati,1.0
2015,11,1,LA Rams,1.0
2015,11,1,Pittsburgh,1.0
2015,11,1,Arizona,1.0
2015,11,1,Seattle,0.0
2015,11,1,Atlanta,0.0
2015,11,1,Carolina,0.0
2015,11,1,Minnesota,1.0
2015,11,1,Las Vegas,0.0
2015,11,1,Cleveland,1.0
2015,11,1,Tennessee,2.0
2015,11,1,Jacksonville,1.0
2015,11,1,Buffalo,0.0
2015,11,1,Tampa Bay,1.0
2015,11,1,Chicago,0.0
2015,11,1,Kansas City,1.0
2015,11,1,Dallas,1.0
2015,11,1,Houston,1.0
2015,11,1,Denver,1.0
2015,11,1,Miami,3.0
2015,11,1,New Orleans,1.0
2015,11,1,Baltimore,1.0
2015,11,1,Washington,2.0
2015,11,1,Philadelphia,0.0
2015,11,1,San Francisco,4.0
2015,11,1,LA Chargers,1.0
2015,11,1,NY Jets,3.0
2015,11,1,Detroit,2.0
2015,11,1,Indianapolis,2.0
2015,10,25,New England,1.0
2015,10,25,Cincinnati,0.0
2015,10,25,Green Bay,0.0
2015,10,25,Pittsburgh,0.0
2015,10,25,Kansas City,0.0
2015,10,25,NY Giants,2.0
2015,10,25,New Orleans,0.0
2015,10,25,Atlanta,0.0
2015,10,25,Cleveland,2.0
2015,10,25,Seattle,2.0
2015,10,25,San Francisco,0.0
2015,10,25,Dallas,1.0
2015,10,25,Minnesota,2.0
2015,10,25,Carolina,2.0
2015,10,25,Las Vegas,1.0
2015,10,25,Arizona,2.0
2015,10,25,LA Chargers,0.0
2015,10,25,Buffalo,1.0
2015,10,25,Chicago,1.0
2015,10,25,Houston,0.0
2015,10,25,Tennessee,2.0
2015,10,25,LA Rams,4.0
2015,10,25,Indianapolis,0.0
2015,10,25,Baltimore,2.0
2015,10,25,Jacksonville,3.0
2015,10,25,Washington,2.0
2015,10,25,Miami,2.0
2015,10,25,Tampa Bay,0.0
2015,10,25,NY Jets,1.0
2015,10,25,Philadelphia,3.0
2015,10,25,Denver,3.0
2015,10,25,Detroit,1.0
2015,10,18,New England,0.0
2015,10,18,Green Bay,2.0
2015,10,18,NY Giants,1.0
2015,10,18,Cincinnati,1.0
2015,10,18,Cleveland,0.0
2015,10,18,Minnesota,0.0
2015,10,18,Carolina,0.0
2015,10,18,Pittsburgh,1.0
2015,10,18,Seattle,1.0
2015,10,18,Kansas City,0.0
2015,10,18,Arizona,0.0
2015,10,18,New Orleans,0.0
2015,10,18,Atlanta,0.0
2015,10,18,Tennessee,1.0
2015,10,18,Dallas,1.0
2015,10,18,Las Vegas,1.0
2015,10,18,Jacksonville,1.0
2015,10,18,Buffalo,0.0
2015,10,18,Chicago,0.0
2015,10,18,Baltimore,0.0
2015,10,18,San Francisco,0.0
2015,10,18,LA Chargers,1.0
2015,10,18,LA Rams,4.0
2015,10,18,Philadelphia,2.0
2015,10,18,Washington,2.0
2015,10,18,Houston,2.0
2015,10,18,Miami,2.0
2015,10,18,Denver,2.0
2015,10,18,Tampa Bay,0.0
2015,10,18,Indianapolis,0.0
2015,10,18,NY Jets,1.0
2015,10,18,Detroit,4.0
2015,10,11,New England,0.0
2015,10,11,Green Bay,0.0
2015,10,11,NY Giants,1.0
2015,10,11,Cincinnati,0.0
2015,10,11,LA Rams,0.0
2015,10,11,Pittsburgh,0.0
2015,10,11,Seattle,0.0
2015,10,11,Atlanta,0.0
2015,10,11,Minnesota,0.0
2015,10,11,Carolina,0.0
2015,10,11,Cleveland,0.0
2015,10,11,Tennessee,2.0
2015,10,11,Dallas,0.0
2015,10,11,New Orleans,0.0
2015,10,11,Arizona,1.0
2015,10,11,Jacksonville,0.0
2015,10,11,Las Vegas,1.0
2015,10,11,Kansas City,0.0
2015,10,11,Buffalo,1.0
2015,10,11,Chicago,1.0
2015,10,11,Philadelphia,0.0
2015,10,11,LA Chargers,0.0
2015,10,11,Washington,0.0
2015,10,11,Houston,2.0
2015,10,11,San Francisco,1.0
2015,10,11,Denver,2.0
